"stop_id","stop_name","stop_lat","stop_lon","location_type","parent_station"
"START_SI3528","PAGLIARE DI MEGLIO","42.8704824420684","13.7683265287105",,
"START_SI3534","PAGLIARE TABACCHERIA VIA PERTINI","42.870228986677","13.765696338736",,
"START_SI3540","PAGLIARE - SAN PIO X VIA PIAVE","42.8701158207788","13.7837289264041",,
"START_SI4004","PAGLIARE - BAR PETTA","42.8728110305054","13.7646378791215",,
"START_SI4010","PAGLIARE - OFFICINA MOZZONI","42.8806504480638","13.789127018796",,
"START_SI4025","VILLA PALAZZI","42.8815094388874","13.7675169779226",,
"START_SI4030","PAGLIARE - LARGO STRACCIA","42.8649011250232","13.7718498493806",,
"START_SI4031","PAGLIARE - VIA I MAGGIO","42.8641292884535","13.7666472356014",,
"START_SI4504","PAGLIARE - BAR PETTA","42.8731282968654","13.7644142332328",,
"START_SI4510","PAGLIARE - OFFICINA MOZZONI","42.8808651651813","13.7889942495047",,
"START_SI4525","VILLA PALAZZI","42.8814747655111","13.7671960361508",,
"START_SI4530","PAGLIARE - LARGO STRACCIA","42.8649990109539","13.7717407945962",,
"START_SI4531","PAGLIARE - VIA I MAGGIO","42.8641901491822","13.7668633097562",,
"START_SI4534","CASE ROSSE-CONTRADA FARNESA","42.8999878036942","13.7571076043272",,
"START_SL3003","CASTORANO - SMERILLO","42.9935340757142","13.4219804732529",,
"START_SL3004","S.MARTINO AL FAGGIO - BURATTI","43.0041493858251","13.4137430350319",,
"START_SL3005","CASA PASQUALI -  CERESOLA","42.9906390411261","13.4262312650478",,
"START_SL3006","CASA LAURENZI - CERESOLA","42.9891993218257","13.4315547016339",,
"START_SL3007","CONTRADA SAN LORENZO","42.9826004240055","13.427408350393",,
"START_SL3503","CASTORANO - SMERILLO","42.9941540476258","13.4225350274477",,
"START_SL3504","S.MARTINO AL FAGGIO - BURATTI","43.0042494548497","13.4131668790182",,
"START_SL3505","CASA PASQUALI - CERESOLA","42.9905768531433","13.4246566208244",,
"START_SL3506","CASA LAURENZI - CERESOLA","42.9889674263647","13.4313888741173",,
"START_SL3507","CONTRADA SAN LORENZO","42.9829454644147","13.4269610848952",,
"START_SL4001","SAN MARTINO AL FAGGIO","43.001091186084","13.4169164536993",,
"START_SL4501","SAN MARTINO AL FAGGIO","43.0012712975298","13.4172430783399",,
"START_SMERIL","SMERILLO CENTRO","43.0047971132953","13.4455220592484",,
"START_SPELO","FRAZIONE SPELONGA - ARQUATA DEL T.","42.7579951425882","13.2996032604032",,
"START_SPINPIAZZA","SPINETOLI PIAZZA G. LEOPARDI","42.8894312415297","13.773138957962",,
"START_SV3001","PONTE MAGLIO - RISTORANTE BAR IL MAGLIO","42.9921308381089","13.5100944770069",,
"START_SV3002","BIVIO MONTEFALCONE","43.0050242661964","13.4852902812383",,
"START_SV3005","BIVIO MONTELPARO S. VITTORIA","43.0184312324904","13.4974965197694",,
"START_SV3007","CROCE ROSSA","42.9703800671876","13.5643750700136",,
"START_SV3013","BIVIO CRITOLI","43.0112615619108","13.4840418373108",,
"START_SV3501","PONTE MAGLIO - RISTORANTE BAR IL MAGLIO","42.9919736225665","13.5101228087726",,
"START_SV3502","BIVIO MONTEFALCONE","43.0044740301205","13.4838591062764",,
"START_SV3505","BIVIO MONTELPARO S.VITTORIA","43.0184911226105","13.4979429864746",,
"START_SV3507","CROCE ROSSA","42.9707333074957","13.5645385278907",,
"START_SV3508","CROCE ROSSA","42.9709829135009","13.5636191621701",,
"START_SV3513","BIVIO CRITOLI","43.01154481646","13.4833323780686",,
"START_SV4008","BIVIO VIGNOLA","42.9848105512357","13.4762903693154",,
"START_SV4009","PONTE MAGLIO - SANTA VITTORIA IN MATENAN","42.9926225195857","13.5070557568578",,
"START_SV4011","SANTA VITTORIA IN MATENANO CENTRO","43.0205747599404","13.4951278278511",,
"START_SV4508","BIVIO VIGNOLA","42.9846921685068","13.4765293995319",,
