"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"FS02_5760","1","1","1","1","1","1","1","20171210","20180609"
"FS02_591","1","1","1","1","1","1","1","20171210","20180609"
"FS02_5720","1","1","1","1","1","1","1","20171210","20180609"
"FS02_689","1","1","1","1","1","1","1","20171210","20180609"
"FS02_1397","1","1","1","1","1","1","1","20171210","20180609"
"FS02_1251","1","1","1","1","1","1","1","20171210","20180609"
"FS02_1153","1","1","1","1","1","1","1","20171210","20180609"
"FS02_1031","1","1","1","1","1","1","1","20171210","20180609"
"FS02_909","1","1","1","1","1","1","1","20171210","20180609"
"FS02_15845","1","1","1","1","1","1","1","20171213","20171213"
"FS02_5740","1","1","1","1","1","1","1","20171210","20180609"
"FS02_14804","1","1","1","1","1","1","1","20171216","20171216"
"FS02_13835","1","1","1","1","1","1","1","20171210","20180609"
"FS02_5525","1","1","1","1","1","1","1","20180603","20180603"
"FS02_11370","1","1","1","1","1","1","1","20171210","20180609"
"FS02_5573","1","1","1","1","1","1","1","20180331","20180331"
"FS02_3","1","1","1","1","1","1","1","20171210","20180609"
"FS02_5575","1","1","1","1","1","1","1","20180428","20180428"
"FS02_5576","1","1","1","1","1","1","1","20180501","20180501"
"FS02_5577","1","1","1","1","1","1","1","20180602","20180602"
"FS02_5578","1","1","1","1","1","1","1","20180603","20180603"
"FS02_5579","1","1","1","1","1","1","1","20180609","20180609"
"FS02_5626","1","1","1","1","1","1","1","20171210","20180609"
"FS02_5690","1","1","1","1","1","1","1","20171210","20180609"
"FS02_5674","1","1","1","1","1","1","1","20171226","20171226"
"FS02_15899","1","1","1","1","1","1","1","20171214","20171214"
"FS02_15326","1","1","1","1","1","1","1","20171216","20171216"
"FS02_15739","1","1","1","1","1","1","1","20171215","20171215"
"FS02_15738","1","1","1","1","1","1","1","20171214","20171214"
"FS02_15679","1","1","1","1","1","1","1","20171214","20171214"
"FS02_15678","1","1","1","1","1","1","1","20171213","20171213"
"FS02_15556","1","1","1","1","1","1","1","20171218","20171218"
"FS02_14645","1","1","1","1","1","1","1","20171216","20171216"
"FS02_15387","1","1","1","1","1","1","1","20171217","20171217"
"FS02_14698","1","1","1","1","1","1","1","20171217","20171217"
"FS02_15204","1","1","1","1","1","1","1","20171217","20171217"
"FS02_15144","1","1","1","1","1","1","1","20171216","20171216"
"FS02_15030","1","1","1","1","1","1","1","20171217","20171217"
"FS02_14986","1","1","1","1","1","1","1","20171216","20171216"
"FS02_14851","1","1","1","1","1","1","1","20171217","20171217"
"FS02_5523","1","1","1","1","1","1","1","20180501","20180501"
"FS02_15496","1","1","1","1","1","1","1","20171217","20171217"
"FS02_12526","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12210","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12223","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12266","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12286","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12299","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12313","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12333","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12351","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12384","1","1","1","1","1","1","1","20171216","20171216"
"FS02_12365","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12397","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12464","1","1","1","1","1","1","1","20171210","20180609"
"FS02_13875","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12497","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12157","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12540","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12559","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12569","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12598","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12627","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12671","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12723","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12753","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12782","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12810","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12838","1","1","1","1","1","1","1","20180331","20180331"
"FS02_12839","1","1","1","1","1","1","1","20180402","20180402"
"FS02_12840","1","1","1","1","1","1","1","20180428","20180428"
"FS02_12477","1","1","1","1","1","1","1","20171210","20180609"
"FS02_11947","1","1","1","1","1","1","1","20180603","20180603"
"FS02_11434","1","1","1","1","1","1","1","20171210","20180609"
"FS02_11490","1","1","1","1","1","1","1","20171210","20180609"
"FS02_11554","1","1","1","1","1","1","1","20171210","20180609"
"FS02_11610","1","1","1","1","1","1","1","20171210","20180609"
"FS02_11669","1","1","1","1","1","1","1","20171210","20180609"
"FS02_11706","1","1","1","1","1","1","1","20171210","20180609"
"FS02_11771","1","1","1","1","1","1","1","20171210","20180609"
"FS02_11865","1","1","1","1","1","1","1","20171210","20180609"
"FS02_11885","1","1","1","1","1","1","1","20171210","20180609"
"FS02_11914","1","1","1","1","1","1","1","20171210","20180609"
"FS02_11942","1","1","1","1","1","1","1","20180331","20180331"
"FS02_11943","1","1","1","1","1","1","1","20180402","20180402"
"FS02_11944","1","1","1","1","1","1","1","20180428","20180428"
"FS02_12195","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12010","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12843","1","1","1","1","1","1","1","20180603","20180603"
"FS02_12139","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12125","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12111","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12092","1","1","1","1","1","1","1","20171210","20180609"
"FS02_11945","1","1","1","1","1","1","1","20180501","20180501"
"FS02_12029","1","1","1","1","1","1","1","20171210","20180609"
"FS02_11946","1","1","1","1","1","1","1","20180602","20180602"
"FS02_12000","1","1","1","1","1","1","1","20171210","20180609"
"FS02_11986","1","1","1","1","1","1","1","20171210","20180609"
"FS02_11972","1","1","1","1","1","1","1","20171210","20180609"
"FS02_11958","1","1","1","1","1","1","1","20171210","20180609"
"FS02_11948","1","1","1","1","1","1","1","20180609","20180609"
"FS02_12177","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12058","1","1","1","1","1","1","1","20171210","20180609"
"FS02_4092","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12841","1","1","1","1","1","1","1","20180501","20180501"
"FS02_3387","1","1","1","1","1","1","1","20180602","20180602"
"FS02_3388","1","1","1","1","1","1","1","20180603","20180603"
"FS02_3389","1","1","1","1","1","1","1","20180609","20180609"
"FS02_3479","1","1","1","1","1","1","1","20180331","20180331"
"FS02_3480","1","1","1","1","1","1","1","20180402","20180402"
"FS02_3481","1","1","1","1","1","1","1","20180428","20180428"
"FS02_3482","1","1","1","1","1","1","1","20180501","20180501"
"FS02_3483","1","1","1","1","1","1","1","20180602","20180602"
"FS02_3484","1","1","1","1","1","1","1","20180603","20180603"
"FS02_3485","1","1","1","1","1","1","1","20180609","20180609"
"FS02_3870","1","1","1","1","1","1","1","20171210","20180609"
"FS02_3909","1","1","1","1","1","1","1","20171210","20180609"
"FS02_3295","1","1","1","1","1","1","1","20180603","20180603"
"FS02_4477","1","1","1","1","1","1","1","20171210","20180609"
"FS02_13177","1","1","1","1","1","1","1","20171217","20171217"
"FS02_4902","1","1","1","1","1","1","1","20171210","20180609"
"FS02_4844","1","1","1","1","1","1","1","20171210","20180609"
"FS02_4786","1","1","1","1","1","1","1","20171210","20180609"
"FS02_4720","1","1","1","1","1","1","1","20171210","20180609"
"FS02_3975","1","1","1","1","1","1","1","20171210","20180609"
"FS02_4534","1","1","1","1","1","1","1","20171210","20180609"
"FS02_4033","1","1","1","1","1","1","1","20171210","20180609"
"FS02_4411","1","1","1","1","1","1","1","20171210","20180609"
"FS02_4345","1","1","1","1","1","1","1","20171210","20180609"
"FS02_4279","1","1","1","1","1","1","1","20171210","20180609"
"FS02_4213","1","1","1","1","1","1","1","20171210","20180609"
"FS02_4156","1","1","1","1","1","1","1","20171210","20180609"
"FS02_3294","1","1","1","1","1","1","1","20180602","20180602"
"FS02_4592","1","1","1","1","1","1","1","20171210","20180609"
"FS02_13132","1","1","1","1","1","1","1","20180428","20180428"
"FS02_5574","1","1","1","1","1","1","1","20180402","20180402"
"FS02_12844","1","1","1","1","1","1","1","20180609","20180609"
"FS02_12854","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12868","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12897","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12925","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12954","1","1","1","1","1","1","1","20171210","20180609"
"FS02_12983","1","1","1","1","1","1","1","20171210","20180609"
"FS02_13011","1","1","1","1","1","1","1","20171210","20180609"
"FS02_13040","1","1","1","1","1","1","1","20171210","20180609"
"FS02_13059","1","1","1","1","1","1","1","20171210","20180609"
"FS02_13087","1","1","1","1","1","1","1","20171210","20180609"
"FS02_13103","1","1","1","1","1","1","1","20171210","20180609"
"FS02_3296","1","1","1","1","1","1","1","20180609","20180609"
"FS02_2792","1","1","1","1","1","1","1","20171217","20171217"
"FS02_3238","1","1","1","1","1","1","1","20180603","20180603"
"FS02_3237","1","1","1","1","1","1","1","20180602","20180602"
"FS02_3181","1","1","1","1","1","1","1","20180603","20180603"
"FS02_3180","1","1","1","1","1","1","1","20180602","20180602"
"FS02_2796","1","1","1","1","1","1","1","20180402","20180402"
"FS02_13130","1","1","1","1","1","1","1","20180331","20180331"
"FS02_2793","1","1","1","1","1","1","1","20171226","20171226"
"FS02_13131","1","1","1","1","1","1","1","20180402","20180402"
"FS02_2791","1","1","1","1","1","1","1","20171210","20171210"
"FS02_13136","1","1","1","1","1","1","1","20180609","20180609"
"FS02_13135","1","1","1","1","1","1","1","20180603","20180603"
"FS02_13134","1","1","1","1","1","1","1","20180602","20180602"
"FS02_13133","1","1","1","1","1","1","1","20180501","20180501"
"FS02_12842","1","1","1","1","1","1","1","20180602","20180602"
"FS02_2794","1","1","1","1","1","1","1","20180101","20180101"
"FS02_6369","1","1","1","1","1","1","1","20171210","20180609"
"FS02_2007","1","1","1","1","1","1","1","20171210","20180610"
"FS02_6632","1","1","1","1","1","1","1","20171210","20180609"
"FS02_5911","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6611","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6600","1","1","1","1","1","1","1","20171210","20180609"
"FS02_5526","1","1","1","1","1","1","1","20180609","20180609"
"FS02_6571","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6554","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6524","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6493","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6476","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6672","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6400","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6701","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6354","1","1","1","1","1","1","1","20171210","20180609"
"FS02_7004","1","1","1","1","1","1","1","20171210","20180609"
"FS02_7248","1","1","1","1","1","1","1","20171210","20180609"
"FS02_7300","1","1","1","1","1","1","1","20171210","20180609"
"FS02_7317","1","1","1","1","1","1","1","20171210","20180609"
"FS02_1587","1","1","1","1","1","1","1","20171210","20180609"
"FS02_1648","1","1","1","1","1","1","1","20171210","20180610"
"FS02_1758","1","1","1","1","1","1","1","20171210","20180609"
"FS02_1818","1","1","1","1","1","1","1","20171210","20180610"
"FS02_6308","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6277","1","1","1","1","1","1","1","20171210","20180609"
"FS02_1960","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6460","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6874","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6974","1","1","1","1","1","1","1","20171210","20180609"
"FS02_7021","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6944","1","1","1","1","1","1","1","20171210","20180609"
"FS02_7030","1","1","1","1","1","1","1","20171210","20180609"
"FS02_7040","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6922","1","1","1","1","1","1","1","20171210","20180609"
"FS02_7070","1","1","1","1","1","1","1","20171210","20180609"
"FS02_7081","1","1","1","1","1","1","1","20171210","20180609"
"FS02_7099","1","1","1","1","1","1","1","20171210","20180609"
"FS02_7128","1","1","1","1","1","1","1","20171210","20180609"
"FS02_7145","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6650","1","1","1","1","1","1","1","20171210","20180609"
"FS02_7164","1","1","1","1","1","1","1","20171210","20180609"
"FS02_7267","1","1","1","1","1","1","1","20171210","20180609"
"FS02_7181","1","1","1","1","1","1","1","20171210","20180609"
"FS02_7192","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6858","1","1","1","1","1","1","1","20171210","20180609"
"FS02_7214","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6848","1","1","1","1","1","1","1","20171210","20180609"
"FS02_7231","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6818","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6800","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6779","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6761","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6731","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6751","1","1","1","1","1","1","1","20180609","20180609"
"FS02_6892","1","1","1","1","1","1","1","20171210","20180609"
"FS02_9666","1","1","1","1","1","1","1","20171210","20180609"
"FS02_8623","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6094","1","1","1","1","1","1","1","20171210","20180609"
"FS02_10154","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6123","1","1","1","1","1","1","1","20171210","20180609"
"FS02_10001","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6185","1","1","1","1","1","1","1","20180609","20180609"
"FS02_9934","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6063","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6153","1","1","1","1","1","1","1","20171210","20180609"
"FS02_10374","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6232","1","1","1","1","1","1","1","20180609","20180609"
"FS02_9517","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6338","1","1","1","1","1","1","1","20171210","20180609"
"FS02_9236","1","1","1","1","1","1","1","20171210","20180609"
"FS02_2115","1","1","1","1","1","1","1","20171210","20180609"
"FS02_8928","1","1","1","1","1","1","1","20171210","20180609"
"FS02_8776","1","1","1","1","1","1","1","20171210","20180609"
"FS02_9757","1","1","1","1","1","1","1","20171210","20180609"
"FS02_10964","1","1","1","1","1","1","1","20171210","20180609"
"FS02_8","1","1","1","1","1","1","1","20171210","20180609"
"FS02_13","1","1","1","1","1","1","1","20171217","20171217"
"FS02_29","1","1","1","1","1","1","1","20171217","20171217"
"FS02_5941","1","1","1","1","1","1","1","20171210","20180609"
"FS02_22","1","1","1","1","1","1","1","20171216","20171216"
"FS02_11287","1","1","1","1","1","1","1","20171210","20180609"
"FS02_11167","1","1","1","1","1","1","1","20171210","20180609"
"FS02_10306","1","1","1","1","1","1","1","20171210","20180609"
"FS02_11047","1","1","1","1","1","1","1","20171210","20180609"
"FS02_9084","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6001","1","1","1","1","1","1","1","20171210","20180609"
"FS02_10812","1","1","1","1","1","1","1","20171222","20171222"
"FS02_10660","1","1","1","1","1","1","1","20180107","20180107"
"FS02_10593","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6032","1","1","1","1","1","1","1","20171210","20180609"
"FS02_10527","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6048","1","1","1","1","1","1","1","20171210","20180609"
"FS02_5972","1","1","1","1","1","1","1","20171210","20180609"
"FS02_8319","1","1","1","1","1","1","1","20171210","20180609"
"FS02_7553","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6247","1","1","1","1","1","1","1","20171210","20180609"
"FS02_8190","1","1","1","1","1","1","1","20171210","20180609"
"FS02_7486","1","1","1","1","1","1","1","20171210","20180609"
"FS02_9389","1","1","1","1","1","1","1","20171210","20180609"
"FS02_8042","1","1","1","1","1","1","1","20171210","20180609"
"FS02_7774","1","1","1","1","1","1","1","20171210","20180609"
"FS02_6200","1","1","1","1","1","1","1","20171210","20180609"
"FS02_7334","1","1","1","1","1","1","1","20171210","20180609"
"FS02_8471","1","1","1","1","1","1","1","20171210","20180609"
"FS02_2475","1","1","1","1","1","1","1","20171210","20180609"
"FS02_7706","1","1","1","1","1","1","1","20171210","20180609"
"FS02_2363","1","1","1","1","1","1","1","20171210","20180610"
"FS02_7866","1","1","1","1","1","1","1","20171210","20180609"
"FS02_2294","1","1","1","1","1","1","1","20171210","20180609"
"FS02_2176","1","1","1","1","1","1","1","20171210","20180610"
"FS05_3752","0","0","0","0","0","0","1","20180520","20180603"
"FS05_13801","0","0","0","0","0","0","1","20171210","20180603"
"FS05_13818","0","0","0","0","0","0","1","20171210","20180603"
"FS05_13780","0","0","0","0","0","0","1","20171210","20180603"
"FS05_13591","0","0","0","0","0","0","1","20171210","20180603"
"FS05_3789","0","0","0","0","0","0","1","20180520","20180603"
"FS05_3708","0","0","0","0","0","0","1","20180520","20180603"
"FS05_14056","0","0","0","0","0","0","1","20171210","20180603"
"FS05_11827","0","0","0","0","0","0","1","20171210","20180603"
"FS05_3132","0","0","0","0","0","0","1","20171210","20180603"
"FS05_14381","0","0","0","0","0","0","1","20171210","20180603"
"FS05_14400","0","0","0","0","0","0","1","20171210","20180603"
"FS05_3826","0","0","0","0","0","0","1","20180520","20180603"
"FS05_13274","0","0","0","0","0","0","1","20171210","20180603"
"FS05_13386","0","0","0","0","0","0","1","20171210","20180603"
"FS05_13407","0","0","0","0","0","0","1","20171210","20180603"
"FS05_13422","0","0","0","0","0","0","1","20171210","20180603"
"FS05_13451","0","0","0","0","0","0","1","20171210","20180603"
"FS05_13466","0","0","0","0","0","0","1","20171210","20180603"
"FS05_13358","0","0","0","0","0","0","1","20171210","20180603"
"FS05_13481","0","0","0","0","0","0","1","20171210","20180603"
"FS05_13502","0","0","0","0","0","0","1","20171210","20180603"
"FS05_13330","0","0","0","0","0","0","1","20171210","20180603"
"FS05_13759","0","0","0","0","0","0","1","20171210","20180603"
"FS05_13302","0","0","0","0","0","0","1","20171210","20180603"
"FS05_13145","0","0","0","0","0","0","1","20171210","20180603"
"FS05_13659","0","0","0","0","0","0","1","20171210","20180603"
"FS05_5675","0","0","0","0","0","0","1","20180106","20180603"
"FS05_13738","0","0","0","0","0","0","1","20171210","20180603"
"FS05_13717","0","0","0","0","0","0","1","20171210","20180603"
"FS05_13688","0","0","0","0","0","0","1","20171210","20180603"
"FS05_13158","0","0","0","0","0","0","1","20171210","20180603"
"FS05_13638","0","0","0","0","0","0","1","20171210","20180603"
"FS05_13190","0","0","0","0","0","0","1","20171210","20180603"
"FS05_13629","0","0","0","0","0","0","1","20171210","20180603"
"FS05_13612","0","0","0","0","0","0","1","20171210","20180603"
"FS05_13218","0","0","0","0","0","0","1","20171210","20180603"
"FS08_4660","0","0","0","0","0","1","1","20171210","20180609"
"FS08_12435","0","0","0","0","0","1","1","20171210","20180609"
"FS08_13246","0","0","0","0","0","1","1","20171210","20180609"
"FS18_13570","0","0","0","0","0","0","1","20171210","20180603"
"FS18_2797","0","0","0","0","0","0","1","20180408","20180603"
"FS18_2795","0","0","0","0","0","0","1","20180107","20180325"
"FS18_2953","0","0","0","0","0","0","1","20171210","20180603"
"FS18_15901","0","0","0","0","0","0","1","20171219","20171223"
"FS18_15680","0","0","0","0","0","0","1","20171217","20171222"
"FS18_15740","0","0","0","0","0","0","1","20171218","20171223"
"FS18_5673","0","0","0","0","0","0","1","20171210","20180603"
"FS18_15847","0","0","0","0","0","0","1","20171218","20171222"
"FS18_16106","0","0","0","0","0","0","1","20171218","20171223"
"FS18_16038","0","0","0","0","0","0","1","20171217","20171222"
"FS19_1819","0","1","1","1","1","1","1","20171214","20171220"
"FS19_1590","0","1","1","1","1","1","1","20171216","20171222"
"FS19_1651","0","1","1","1","1","1","1","20171217","20171223"
"FS19_1765","0","1","1","1","1","1","1","20171216","20171222"
"FS19_1759","0","1","1","1","1","1","1","20171213","20171219"
"FS19_2366","0","1","1","1","1","1","1","20171217","20171223"
"FS19_1825","0","1","1","1","1","1","1","20171217","20171223"
"FS19_2297","0","1","1","1","1","1","1","20171216","20171222"
"FS19_1817","0","1","1","1","1","1","1","20171210","20180604"
"FS20_2367","1","0","1","1","1","1","1","20171217","20171223"
"FS20_2298","1","0","1","1","1","1","1","20171216","20171222"
"FS20_1652","1","0","1","1","1","1","1","20171217","20171223"
"FS20_1591","1","0","1","1","1","1","1","20171216","20171222"
"FS20_1760","1","0","1","1","1","1","1","20171213","20171219"
"FS20_1766","1","0","1","1","1","1","1","20171216","20171222"
"FS20_1826","1","0","1","1","1","1","1","20171217","20171223"
"FS20_1820","1","0","1","1","1","1","1","20171214","20171220"
"FS21_1827","1","1","0","1","1","1","1","20171217","20171223"
"FS21_1653","1","1","0","1","1","1","1","20171217","20171223"
"FS21_2368","1","1","0","1","1","1","1","20171217","20171223"
"FS21_1761","1","1","0","1","1","1","1","20171213","20171219"
"FS21_1821","1","1","0","1","1","1","1","20171214","20171220"
"FS22_1592","1","1","1","0","1","1","1","20171216","20171222"
"FS22_1767","1","1","1","0","1","1","1","20171216","20171222"
"FS22_1822","1","1","1","0","1","1","1","20171214","20171220"
"FS22_1762","1","1","1","0","1","1","1","20171213","20171219"
"FS22_2299","1","1","1","0","1","1","1","20171216","20171222"
"FS23_1768","1","1","1","1","0","1","1","20171216","20171222"
"FS23_1823","1","1","1","1","0","1","1","20171214","20171220"
"FS23_1828","1","1","1","1","0","1","1","20171217","20171223"
"FS23_2369","1","1","1","1","0","1","1","20171217","20171223"
"FS23_1654","1","1","1","1","0","1","1","20171217","20171223"
"FS23_1593","1","1","1","1","0","1","1","20171216","20171222"
"FS23_2300","1","1","1","1","0","1","1","20171216","20171222"
"FS24_1655","1","1","1","1","1","0","1","20171217","20171223"
"FS24_1594","1","1","1","1","1","0","1","20171216","20171222"
"FS24_6494","1","1","1","1","1","0","1","20180113","20180526"
"FS24_13104","1","1","1","1","1","0","1","20171210","20180609"
"FS24_7249","1","1","1","1","1","0","1","20171210","20180609"
"FS24_6492","1","1","1","1","1","0","1","20171210","20171230"
